trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield,label
2019-10-29,300432.SZ,6.87,6.9,6.76,6.82,6.91,-0.09,-1.3025,48649.7,33147.139,0.17,1.0
2019-10-29,603021.SH,8.22,8.31,8.05,8.15,8.25,-0.1,-1.2121,20762.0,16897.48,0.17,1.0
2019-10-29,600890.SH,5.46,5.5,5.37,5.43,5.44,-0.01,-0.1838,24417.0,13265.989,0.17,1.0
2019-10-29,600583.SH,5.63,5.73,5.54,5.69,5.64,0.05,0.8865,142554.0,80375.746,0.17,1.0
2019-10-29,000910.SZ,11.15,11.24,10.85,10.89,11.27,-0.38,-3.3718,93010.1,102139.02,0.17,1.0
2019-10-29,603022.SH,11.0,12.14,10.55,12.14,11.04,1.1,9.9638,142724.64,161915.22199999998,0.17,1.0
2019-10-29,300767.SZ,40.41,40.65,39.7,39.86,40.88,-1.02,-2.4951,9299.3,37155.093,0.17,1.0
2019-10-29,603133.SH,17.31,17.4,16.68,17.15,17.29,-0.14,-0.8097,60702.0,102665.136,0.17,1.0
2019-10-29,600285.SH,8.75,9.12,8.71,8.94,8.83,0.11,1.2458,150661.1,135205.098,0.17,1.0
2019-10-29,002233.SZ,9.75,9.75,9.53,9.56,9.78,-0.22,-2.2495,99121.24,95493.373,0.17,1.0
2019-10-29,002675.SZ,13.7,14.62,13.47,13.98,13.7,0.28,2.0438,225522.77,320605.512,0.16,1.0
2019-10-29,002947.SZ,46.44,46.44,46.44,46.44,51.6,-5.16,-10.0,14708.0,68303.952,0.16,1.0
2019-10-29,300575.SZ,26.56,26.62,25.58,25.67,26.6,-0.93,-3.4962,17626.0,45858.442,0.16,1.0
2019-10-29,002326.SZ,8.46,8.51,8.31,8.33,8.44,-0.11,-1.3033,97942.62,82442.549,0.16,1.0
2019-10-29,603583.SH,34.03,34.03,32.91,33.27,34.13,-0.86,-2.5198,18602.78,62157.63400000001,0.16,1.0
2019-10-29,300251.SZ,8.88,8.94,8.75,8.77,8.83,-0.06,-0.6795,198499.25,175484.05800000002,0.16,1.0
2019-10-29,601918.SH,2.99,2.99,2.96,2.97,2.99,-0.02,-0.6689,73716.18,21917.919,0.16,1.0
2019-10-29,300632.SZ,21.62,21.76,20.29,20.46,21.82,-1.36,-6.2328,70207.55,148201.581,0.16,1.0
2019-10-29,300639.SZ,23.25,23.69,22.5,22.5,23.24,-0.74,-3.1842,62529.75,143892.78699999998,0.16,1.0
2019-10-29,603799.SH,24.81,25.3,24.62,24.87,25.0,-0.13,-0.52,230989.24,577963.823,0.16,1.0
2019-10-29,000892.SZ,4.73,4.82,4.63,4.64,4.72,-0.08,-1.6949,66711.08,31522.997000000007,0.16,1.0
2019-10-29,000860.SZ,47.1,47.35,45.09,45.77,47.45,-1.68,-3.5406,159686.83,735514.442,0.15,1.0
2019-10-29,600825.SH,4.7,4.75,4.63,4.65,4.68,-0.03,-0.6409999999999999,62434.23,29349.198,0.15,1.0
2019-10-29,000672.SZ,14.63,14.81,14.45,14.47,14.73,-0.26,-1.7651,171615.04,250456.692,0.15,1.0
2019-10-29,603069.SH,6.79,6.84,6.68,6.75,6.79,-0.04,-0.5891,36154.67,24339.778,0.15,1.0
2019-10-29,603507.SH,16.98,17.1,16.76,16.8,17.0,-0.2,-1.1765,5934.57,10038.199,0.15,1.0
2019-10-29,002418.SZ,2.66,2.69,2.6,2.61,2.67,-0.06,-2.2472,103921.0,27464.019,0.15,1.0
2019-10-29,600580.SH,8.64,8.73,8.54,8.67,8.62,0.05,0.58,81768.79,70544.833,0.15,1.0
2019-10-29,300189.SZ,3.45,3.53,3.44,3.45,3.45,0.0,0.0,67972.3,23607.033,0.14,1.0
2019-10-29,300319.SZ,9.09,9.1,8.65,8.71,9.19,-0.48,-5.2231,429459.6,378394.748,0.14,1.0
2019-10-29,603444.SH,278.55,278.55,273.13,273.57,276.23,-2.66,-0.963,5517.62,152005.99800000002,0.14,1.0
2019-10-29,002320.SZ,8.62,8.63,8.41,8.42,8.64,-0.22,-2.5463,65333.46,55482.491,0.14,1.0
2019-10-29,002251.SZ,7.87,8.1,7.84,7.96,7.91,0.05,0.6321,86230.27,68842.803,0.14,1.0
2019-10-29,300655.SZ,22.56,22.96,21.9,22.2,22.81,-0.61,-2.6743,63199.3,142097.177,0.14,1.0
2019-10-29,000977.SZ,26.26,26.58,25.78,25.88,25.9,-0.02,-0.0772,394524.06,1032539.111,0.14,1.0
2019-10-29,000338.SZ,12.0,12.02,11.76,11.78,12.0,-0.22,-1.8333,285331.32,338184.506,0.14,1.0
2019-10-29,603197.SH,22.91,23.1,22.51,22.51,22.88,-0.37,-1.6171,18320.6,41864.165,0.14,1.0
2019-10-29,002745.SZ,10.45,10.54,10.32,10.33,10.47,-0.14,-1.3372,54746.57,57007.269,0.14,1.0
2019-10-29,600801.SH,19.59,19.66,19.28,19.28,19.58,-0.3,-1.5322,112353.53,218351.063,0.14,1.0
2019-10-29,002466.SZ,26.18,26.4,25.61,25.79,26.22,-0.43,-1.64,161385.93,418680.689,0.14,1.0
2019-10-29,300438.SZ,17.8,18.59,17.72,18.37,17.85,0.52,2.9132,77434.82,141605.812,0.14,1.0
2019-10-29,603103.SH,13.88,13.98,13.68,13.69,13.82,-0.13,-0.9407,14243.0,19745.039,0.14,1.0
2019-10-29,603013.SH,14.94,15.0,14.88,14.88,14.94,-0.06,-0.4016,22854.26,34141.654,0.14,1.0
2019-10-29,300225.SZ,5.35,5.37,5.09,5.12,5.37,-0.25,-4.6555,161422.28,83911.067,0.14,1.0
2019-10-29,600176.SH,8.17,8.18,8.07,8.07,8.17,-0.1,-1.224,159803.54,129800.737,0.14,1.0
2019-10-29,002456.SZ,11.18,11.19,10.75,10.9,11.28,-0.38,-3.3688,1082008.41,1182688.564,0.14,1.0
2019-10-29,300413.SZ,28.27,28.45,27.26,27.86,28.54,-0.68,-2.3826,129594.67,360981.994,0.13,1.0
2019-10-29,300285.SZ,20.79,21.09,20.2,20.29,20.86,-0.57,-2.7325,64269.31,131628.726,0.13,1.0
2019-10-29,601636.SH,4.04,4.05,4.0,4.01,4.05,-0.04,-0.9877,156185.0,62764.301,0.13,1.0
2019-10-29,300219.SZ,5.7,5.74,5.53,5.55,5.75,-0.2,-3.4783,24350.63,13698.523,0.13,1.0
2019-10-29,002064.SZ,5.14,5.15,5.06,5.07,5.14,-0.07,-1.3619,75824.53,38588.533,0.13,1.0
2019-10-29,000688.SZ,10.18,10.23,10.12,10.17,10.16,0.01,0.0984,25369.82,25826.923,0.13,1.0
2019-10-29,300397.SZ,21.99,22.03,20.95,20.97,21.97,-1.0,-4.5517,69334.06,147608.221,0.13,1.0
2019-10-29,002681.SZ,4.3,4.34,4.19,4.2,4.35,-0.15,-3.4483,227660.28,97048.858,0.13,1.0
2019-10-29,603986.SH,150.01,150.87,143.68,144.5,149.26,-4.76,-3.1891,63955.9,938221.815,0.13,1.0
2019-10-29,600403.SH,3.83,3.86,3.78,3.81,3.84,-0.03,-0.7813,17149.83,6560.774,0.13,1.0
2019-10-29,600585.SH,42.19,42.28,41.61,41.66,42.18,-0.52,-1.2328,140377.39,587516.614,0.13,1.0
2019-10-29,603035.SH,9.35,9.39,9.23,9.28,9.39,-0.11,-1.1715,30698.0,28535.13,0.13,1.0
2019-10-29,002201.SZ,21.03,21.05,19.56,19.88,20.8,-0.92,-4.4231,227311.98,457970.4,0.13,1.0
2019-10-29,002808.SZ,9.21,10.05,9.12,9.66,9.38,0.28,2.9851,158597.33,153204.633,0.13,1.0
2019-10-29,000007.SZ,9.08,9.12,8.86,9.05,9.08,-0.03,-0.3304,45282.5,40927.969,0.13,1.0
2019-10-29,002791.SZ,24.29,25.3,23.8,25.0,24.6,0.4,1.626,33054.57,81407.657,0.13,1.0
2019-10-29,300782.SZ,369.66,373.9,356.0,366.5,372.7,-6.2,-1.6635,17043.69,620423.299,0.13,1.0
2019-10-29,002627.SZ,8.25,8.27,8.12,8.12,8.22,-0.1,-1.2165,23614.6,19345.586,0.12,1.0
2019-10-29,600126.SH,4.28,4.37,4.25,4.31,4.29,0.02,0.4662,83728.08,36226.098,0.12,1.0
2019-10-29,300352.SZ,7.55,7.57,6.94,6.97,7.6,-0.63,-8.2895,1512312.35,1086759.985,0.12,1.0
2019-10-29,002556.SZ,5.06,5.12,5.06,5.08,5.09,-0.01,-0.1965,27839.0,14172.973,0.12,1.0
2019-10-29,603881.SH,34.0,34.22,31.91,31.96,33.49,-1.53,-4.5685,66796.64,219214.513,0.12,1.0
2019-10-29,603208.SH,43.5,45.55,43.48,45.55,41.41,4.14,9.9976,9915.7,44629.815,0.12,1.0
2019-10-29,002476.SZ,6.41,6.41,6.27,6.32,6.41,-0.09,-1.4041,80434.01,50744.40900000001,0.12,1.0
2019-10-29,603311.SH,10.0,10.16,9.9,9.99,10.16,-0.17,-1.6732,12043.86,12081.178999999998,0.12,1.0
2019-10-29,603332.SH,25.58,25.96,25.34,25.35,25.49,-0.14,-0.5492,8987.0,23038.308,0.12,1.0
2019-10-29,300493.SZ,7.56,7.56,7.35,7.35,7.55,-0.2,-2.649,107327.51,80012.099,0.12,1.0
2019-10-29,002001.SZ,20.0,20.13,19.59,19.61,20.07,-0.46,-2.292,165040.29,327104.304,0.12,1.0
2019-10-29,002292.SZ,7.47,7.66,7.37,7.37,7.55,-0.18,-2.3841,183953.34,137388.215,0.12,1.0
2019-10-29,603530.SH,20.13,20.14,18.9,19.13,20.15,-1.02,-5.062,57035.87,110608.488,0.12,1.0
2019-10-29,603737.SH,73.01,73.06,70.7,72.7,72.8,-0.1,-0.1374,12675.36,91238.332,0.12,1.0
2019-10-29,600628.SH,8.8,8.85,8.74,8.83,8.8,0.03,0.3409,13081.13,11508.141,0.12,1.0
2019-10-29,002216.SZ,10.6,11.1,10.5,10.82,10.6,0.22,2.0755,67732.24,73787.11099999999,0.12,1.0
2019-10-29,002108.SZ,3.5,3.52,3.45,3.46,3.5,-0.04,-1.1429,51922.46,18061.695,0.12,1.0
2019-10-29,600690.SH,15.7,15.83,15.62,15.69,15.69,0.0,0.0,192998.52,303473.233,0.12,1.0
2019-10-29,300770.SZ,107.4,112.4,106.0,108.39,107.2,1.19,1.1101,20921.59,228844.767,0.12,1.0
2019-10-29,600678.SH,4.98,5.04,4.94,4.96,5.03,-0.07,-1.3917,32402.01,16203.026000000002,0.12,1.0
2019-10-29,002816.SZ,20.39,20.39,19.72,20.1,20.07,0.03,0.1495,14380.0,28686.09,0.12,1.0
2019-10-29,000100.SZ,3.43,3.43,3.35,3.35,3.44,-0.09,-2.6163,961632.64,324949.711,0.12,1.0
2019-10-29,000595.SZ,3.16,3.19,3.05,3.06,3.16,-0.1,-3.1646,211242.0,65623.19099999999,0.12,1.0
2019-10-29,000581.SZ,16.52,16.54,16.42,16.42,16.54,-0.12,-0.7255,38814.0,63917.677,0.12,1.0
2019-10-29,601899.SH,3.33,3.35,3.31,3.31,3.36,-0.05,-1.4881,702274.7,233833.283,0.12,1.0
2019-10-29,002755.SZ,14.98,15.08,14.67,14.68,14.95,-0.27,-1.806,31593.8,46848.83900000001,0.12,1.0
2019-10-29,600393.SH,2.58,2.58,2.52,2.52,2.59,-0.07,-2.7027,442904.0,113088.247,0.12,1.0
2019-10-29,600358.SH,3.74,3.74,3.6,3.62,3.71,-0.09,-2.4259,76689.0,28075.438,0.12,1.0
2019-10-29,000708.SZ,19.55,20.09,19.11,19.7,19.7,0.0,0.0,90342.37,178469.296,0.11,1.0
2019-10-29,000671.SZ,6.4,6.4,6.2,6.21,6.4,-0.19,-2.9688,226693.78,142043.036,0.11,1.0
2019-10-29,603313.SH,16.56,16.94,16.33,16.77,16.66,0.11,0.6603,37718.31,62962.131,0.11,1.0
2019-10-29,603533.SH,14.91,15.08,14.45,14.46,14.88,-0.42,-2.8226,16308.0,24072.627,0.11,1.0
2019-10-29,300356.SZ,7.7,7.72,6.94,6.95,7.71,-0.76,-9.8573,668460.14,490492.549,0.11,1.0
2019-10-29,300393.SZ,12.59,12.85,12.39,12.41,12.59,-0.18,-1.4297,47793.14,60434.936,0.11,1.0
2019-10-29,600486.SH,51.0,51.65,49.7,51.01,49.09,1.92,3.9112,47324.6,240182.60600000003,0.11,1.0
2019-10-29,600844.SH,4.56,4.6,4.45,4.49,4.56,-0.07,-1.5351,45125.0,20256.697,0.11,1.0
2019-10-29,000591.SZ,3.15,3.16,3.11,3.12,3.16,-0.04,-1.2658,61474.96,19287.696,0.11,1.0
2019-10-29,603031.SH,16.1,16.68,16.03,16.66,16.18,0.48,2.9666,12863.2,21057.081,0.11,1.0
2019-10-29,300464.SZ,11.1,11.58,10.82,11.55,11.34,0.21,1.8519,122050.47,136813.15099999998,0.11,1.0
2019-10-29,600884.SH,10.45,10.52,10.32,10.37,10.51,-0.14,-1.3321,66536.2,69139.63,0.11,1.0
2019-10-29,300124.SZ,24.6,25.16,24.45,24.54,24.63,-0.09,-0.3654,82827.59,205662.925,0.11,1.0
2019-10-29,002247.SZ,2.93,3.02,2.8,2.8,2.94,-0.14,-4.7619,289548.04,84411.625,0.11,1.0
2019-10-29,002870.SZ,20.4,20.4,19.85,19.85,20.41,-0.56,-2.7438,10380.0,20805.315,0.11,1.0
2019-10-29,600641.SH,12.77,12.77,12.44,12.49,12.72,-0.23,-1.8082,53205.69,66859.553,0.11,1.0
2019-10-29,603326.SH,12.69,12.9,12.57,12.82,12.8,0.02,0.1563,28645.01,36532.214,0.11,1.0
2019-10-29,300587.SZ,13.56,13.56,13.21,13.23,13.61,-0.38,-2.7921,50755.1,67603.72200000001,0.11,1.0
2019-10-29,002110.SZ,7.79,7.8,7.72,7.74,7.8,-0.06,-0.7692,120258.15,93189.559,0.11,1.0
2019-10-29,000613.SZ,4.95,4.95,4.76,4.77,4.92,-0.15,-3.0488,36403.0,17607.23,0.11,1.0
2019-10-29,000895.SZ,27.28,28.82,27.28,28.82,26.2,2.62,10.0,239020.14,673959.9190000001,0.11,1.0
2019-10-29,603008.SH,13.41,13.8,13.26,13.65,13.47,0.18,1.3363,84454.19,114508.919,0.11,1.0
2019-10-29,600532.SH,3.72,3.72,3.61,3.62,3.72,-0.1,-2.6882,50809.0,18599.614,0.1,1.0
2019-10-29,000932.SZ,4.15,4.15,4.11,4.12,4.15,-0.03,-0.7229,184139.45,75981.944,0.1,1.0
2019-10-29,603816.SH,35.9,36.14,35.02,35.97,35.73,0.24,0.6717,27238.41,97466.528,0.1,1.0
2019-10-29,002330.SZ,7.12,7.69,7.12,7.44,7.3,0.14,1.9178,279302.32,208295.622,0.1,1.0
2019-10-29,603345.SH,54.66,57.2,53.82,55.68,55.0,0.68,1.2364,17174.76,95672.3,0.1,1.0
2019-10-29,603040.SH,31.09,31.25,30.42,30.45,31.1,-0.65,-2.09,5394.2,16628.166,0.1,1.0
2019-10-29,000973.SZ,4.07,4.08,4.01,4.02,4.06,-0.04,-0.9852,61019.11,24606.513,0.1,1.0
2019-10-29,002601.SZ,12.28,12.3,11.99,12.08,11.92,0.16,1.3423,163649.53,198082.124,0.1,1.0
