ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300256.SZ,20190213,3.35,3.48,3.35,3.48,3.16,0.32,10.1266,174406.0,60362.185
300256.SZ,20190214,3.83,3.83,3.52,3.67,3.48,0.19,5.4598,1419874.0,527303.079
300256.SZ,20190215,3.53,3.76,3.51,3.57,3.67,-0.1,-2.7248,970416.15,353078.369
300256.SZ,20190218,3.85,3.93,3.85,3.93,3.57,0.36,10.084,314839.85,123563.497
300256.SZ,20190219,4.0,4.32,3.92,4.26,3.93,0.33,8.3969,1558913.53,637331.47
300256.SZ,20190220,4.02,4.17,3.99,4.06,4.26,-0.2,-4.6948,883926.03,359252.419
300256.SZ,20190221,4.02,4.08,3.83,3.87,4.06,-0.19,-4.6798,703031.64,278378.959
300256.SZ,20190222,3.78,3.87,3.76,3.87,3.87,0.0,0.0,591479.81,225912.57
300256.SZ,20190225,3.99,4.14,3.94,4.08,3.87,0.21,5.4264,782978.66,318217.346
300256.SZ,20190226,4.06,4.08,3.87,3.91,4.08,-0.17,-4.1667,676231.9,266973.34
300256.SZ,20190227,3.95,4.06,3.8,3.88,3.91,-0.03,-0.7673,447751.51,177080.367
300256.SZ,20190228,3.81,3.98,3.81,3.93,3.88,0.05,1.2887,315060.07,123566.424
300256.SZ,20190301,3.93,4.02,3.81,4.02,3.93,0.09,2.2901,469563.7,185014.811
300256.SZ,20190304,4.08,4.12,3.98,4.03,4.02,0.01,0.2488,690179.56,278842.116
300256.SZ,20190305,3.98,4.25,3.93,4.23,4.03,0.2,4.9628,761335.58,314888.518
300256.SZ,20190306,4.23,4.38,4.08,4.28,4.23,0.05,1.182,764689.55,321444.573
300256.SZ,20190307,4.23,4.53,4.19,4.41,4.28,0.13,3.0374,765407.23,336426.235
300256.SZ,20190308,4.26,4.41,4.02,4.04,4.41,-0.37,-8.39,651887.86,275313.584
300256.SZ,20190311,4.11,4.21,4.05,4.19,4.04,0.15,3.7129,484614.27,200622.644
300256.SZ,20190312,4.28,4.36,4.18,4.34,4.19,0.15,3.58,556791.74,238350.751
300256.SZ,20190313,4.36,4.65,4.26,4.45,4.34,0.11,2.5346,850995.87,379877.637
300256.SZ,20190314,4.39,4.44,4.09,4.18,4.45,-0.27,-6.0674,465282.31,196163.824
