,exchange,cal_date,is_open
582,SZSE,20190806,1
583,SZSE,20190807,1
584,SZSE,20190808,1
585,SZSE,20190809,1
586,SZSE,20190810,0
587,SZSE,20190811,0
588,SZSE,20190812,1
589,SZSE,20190813,1
590,SZSE,20190814,1
591,SZSE,20190815,1
592,SZSE,20190816,1
593,SZSE,20190817,0
594,SZSE,20190818,0
595,SZSE,20190819,1
596,SZSE,20190820,1
597,SZSE,20190821,1
598,SZSE,20190822,1
599,SZSE,20190823,1
600,SZSE,20190824,0
601,SZSE,20190825,0
602,SZSE,20190826,1
603,SZSE,20190827,1
604,SZSE,20190828,1
605,SZSE,20190829,1
606,SZSE,20190830,1
607,SZSE,20190831,0
608,SZSE,20190901,0
609,SZSE,20190902,1
610,SZSE,20190903,1
611,SZSE,20190904,1
612,SZSE,20190905,1
613,SZSE,20190906,1
614,SZSE,20190907,0
615,SZSE,20190908,0
616,SZSE,20190909,1
617,SZSE,20190910,1
618,SZSE,20190911,1
619,SZSE,20190912,1
620,SZSE,20190913,0
621,SZSE,20190914,0
622,SZSE,20190915,0
623,SZSE,20190916,1
624,SZSE,20190917,1
625,SZSE,20190918,1
626,SZSE,20190919,1
627,SZSE,20190920,1
628,SZSE,20190921,0
629,SZSE,20190922,0
630,SZSE,20190923,1
631,SZSE,20190924,1
632,SZSE,20190925,1
633,SZSE,20190926,1
634,SZSE,20190927,1
635,SZSE,20190928,0
636,SZSE,20190929,0
637,SZSE,20190930,1
638,SZSE,20191001,0
639,SZSE,20191002,0
640,SZSE,20191003,0
641,SZSE,20191004,0
642,SZSE,20191005,0
643,SZSE,20191006,0
644,SZSE,20191007,0
645,SZSE,20191008,1
646,SZSE,20191009,1
647,SZSE,20191010,1
648,SZSE,20191011,1
649,SZSE,20191012,0
650,SZSE,20191013,0
651,SZSE,20191014,1
652,SZSE,20191015,1
653,SZSE,20191016,1
654,SZSE,20191017,1
655,SZSE,20191018,1
656,SZSE,20191019,0
657,SZSE,20191020,0
658,SZSE,20191021,1
659,SZSE,20191022,1
660,SZSE,20191023,1
661,SZSE,20191024,1
662,SZSE,20191025,1
663,SZSE,20191026,0
664,SZSE,20191027,0
665,SZSE,20191028,1
666,SZSE,20191029,1
667,SZSE,20191030,1
668,SZSE,20191031,1
669,SZSE,20191101,1
670,SZSE,20191102,0
671,SZSE,20191103,0
672,SZSE,20191104,1
673,SZSE,20191105,1
674,SZSE,20191106,1
675,SZSE,20191107,1
676,SZSE,20191108,1
677,SZSE,20191109,0
678,SZSE,20191110,0
679,SZSE,20191111,1
680,SZSE,20191112,1
681,SZSE,20191113,1
682,SZSE,20191114,1
683,SZSE,20191115,1
684,SZSE,20191116,0
685,SZSE,20191117,0
686,SZSE,20191118,1
687,SZSE,20191119,1
688,SZSE,20191120,1
689,SZSE,20191121,1
690,SZSE,20191122,1
691,SZSE,20191123,0
692,SZSE,20191124,0
693,SZSE,20191125,1
694,SZSE,20191126,1
695,SZSE,20191127,1
696,SZSE,20191128,1
697,SZSE,20191129,1
698,SZSE,20191130,0
699,SZSE,20191201,0
700,SZSE,20191202,1
701,SZSE,20191203,1
702,SZSE,20191204,1
703,SZSE,20191205,1
704,SZSE,20191206,1
705,SZSE,20191207,0
706,SZSE,20191208,0
707,SZSE,20191209,1
708,SZSE,20191210,1
709,SZSE,20191211,1
710,SZSE,20191212,1
711,SZSE,20191213,1
712,SZSE,20191214,0
713,SZSE,20191215,0
714,SZSE,20191216,1
715,SZSE,20191217,1
716,SZSE,20191218,1
717,SZSE,20191219,1
718,SZSE,20191220,1
719,SZSE,20191221,0
720,SZSE,20191222,0
721,SZSE,20191223,1
722,SZSE,20191224,1
723,SZSE,20191225,1
724,SZSE,20191226,1
